RANDAO,Block Number
4.06E+76,15537998
1.15E+77,15537999
6.96E+76,15538000
1.05E+76,15538001
6.32E+76,15538002
9.73E+76,15538003
1.43E+76,15538004
7.80E+76,15538005
6.97E+76,15538006
1.59E+76,15538007
1.13E+77,15538008
6.04E+76,15538009
1.06E+77,15538010
6.46E+76,15538011
2.38E+76,15538012
9.99E+76,15538013
6.67E+76,15538014
8.33E+76,15538015
5.05E+76,15538016
1.35E+75,15538017
4.54E+76,15538018
6.50E+75,15538019
3.67E+75,15538020
9.64E+75,15538021
1.84E+76,15538022
7.81E+76,15538023
7.10E+76,15538024
9.03E+76,15538025
8.71E+76,15538026
8.32E+76,15538027
6.59E+76,15538028
6.68E+76,15538029
1.43E+76,15538030
8.03E+76,15538031
6.99E+76,15538032
7.70E+76,15538033
4.04E+76,15538034
9.40E+76,15538035
6.81E+76,15538036
1.14E+77,15538037
5.64E+76,15538038
1.05E+77,15538039
9.16E+76,15538040
9.77E+76,15538041
9.39E+76,15538042
5.38E+76,15538043
3.25E+76,15538044
2.23E+76,15538045
7.85E+76,15538046
8.31E+76,15538047
3.49E+76,15538048
8.69E+76,15538049
1.01E+77,15538050
1.14E+77,15538051
4.80E+76,15538052
3.91E+76,15538053
1.73E+76,15538054
1.96E+76,15538055
6.98E+75,15538056
4.06E+76,15538057
3.21E+76,15538058
3.18E+76,15538059
2.61E+76,15538060
8.31E+76,15538061
4.02E+76,15538062
2.70E+76,15538063
6.14E+76,15538064
3.43E+76,15538065
2.35E+76,15538066
4.46E+76,15538067
2.75E+76,15538068
9.39E+76,15538069
1.59E+76,15538070
3.03E+76,15538071
7.68E+76,15538072
1.14E+77,15538073
3.69E+76,15538074
6.45E+76,15538075
7.29E+76,15538076
2.08E+75,15538077
4.17E+76,15538078
4.74E+76,15538079
4.88E+76,15538080
1.07E+77,15538081
6.07E+76,15538082
9.03E+76,15538083
8.51E+76,15538084
6.24E+76,15538085
2.44E+76,15538086
1.05E+77,15538087
9.82E+76,15538088
1.60E+76,15538089
8.61E+76,15538090
8.99E+75,15538091
1.05E+77,15538092
6.22E+76,15538093
2.43E+76,15538094
8.62E+76,15538095
3.46E+76,15538096
8.29E+74,15538097
9.13E+76,15538098
1.00E+76,15538099
7.23E+76,15538100
3.06E+76,15538101
7.65E+76,15538102
7.48E+76,15538103
6.38E+76,15538104
2.68E+75,15538105
1.06E+77,15538106
2.50E+76,15538107
3.60E+76,15538108
1.09E+77,15538109
6.50E+76,15538110
1.04E+76,15538111
1.07E+77,15538112
4.45E+76,15538113
9.92E+76,15538114
6.22E+76,15538115
6.13E+76,15538116
1.54E+75,15538117
6.87E+76,15538118
6.17E+76,15538119
1.38E+76,15538120
5.72E+76,15538121
1.07E+77,15538122
3.69E+76,15538123
1.00E+77,15538124
3.71E+76,15538125
1.02E+77,15538126
8.14E+76,15538127
7.07E+76,15538128
7.37E+76,15538129
6.63E+75,15538130
1.51E+76,15538131
2.41E+76,15538132
3.67E+76,15538133
1.10E+77,15538134
9.21E+76,15538135
6.98E+75,15538136
9.44E+75,15538137
8.76E+76,15538138
6.05E+76,15538139
3.98E+76,15538140
2.76E+76,15538141
1.16E+77,15538142
9.39E+76,15538143
9.45E+75,15538144
5.21E+76,15538145
3.97E+76,15538146
3.18E+76,15538147
1.08E+77,15538148
2.43E+76,15538149
5.39E+76,15538150
1.02E+77,15538151
2.15E+76,15538152
6.24E+76,15538153
4.87E+76,15538154
1.00E+77,15538155
9.76E+76,15538156
1.08E+77,15538157
3.65E+76,15538158
4.38E+76,15538159
1.24E+75,15538160
1.12E+77,15538161
8.54E+76,15538162
2.45E+76,15538163
2.18E+76,15538164
9.26E+76,15538165
9.86E+76,15538166
7.68E+76,15538167
5.48E+76,15538168
5.33E+76,15538169
7.59E+76,15538170
3.35E+76,15538171
1.04E+77,15538172
1.01E+77,15538173
1.04E+77,15538174
2.74E+76,15538175
7.99E+76,15538176
1.13E+76,15538177
9.77E+76,15538178
6.03E+76,15538179
1.15E+77,15538180
7.62E+76,15538181
4.71E+76,15538182
1.01E+77,15538183
1.01E+77,15538184
4.11E+76,15538185
1.05E+77,15538186
8.89E+76,15538187
3.25E+76,15538188
4.86E+76,15538189
1.03E+77,15538190
2.59E+76,15538191
7.88E+76,15538192
2.07E+76,15538193
3.76E+76,15538194
5.74E+76,15538195
6.89E+76,15538196
7.11E+76,15538197
5.58E+76,15538198
2.02E+76,15538199
2.63E+76,15538200
1.30E+75,15538201
7.96E+76,15538202
4.56E+76,15538203
5.64E+75,15538204
3.86E+76,15538205
4.46E+76,15538206
4.02E+75,15538207
5.40E+76,15538208
2.84E+75,15538209
2.31E+76,15538210
2.28E+76,15538211
3.33E+76,15538212
1.96E+76,15538213
6.15E+76,15538214
1.73E+76,15538215
3.25E+76,15538216
1.11E+77,15538217
4.07E+76,15538218
7.46E+76,15538219
4.35E+76,15538220
2.24E+76,15538221
3.57E+76,15538222
8.59E+76,15538223
1.01E+77,15538224
2.62E+75,15538225
1.14E+77,15538226
7.88E+76,15538227
7.93E+76,15538228
3.13E+75,15538229
2.48E+76,15538230
9.65E+76,15538231
4.80E+76,15538232
6.51E+76,15538233
4.96E+76,15538234
6.07E+76,15538235
8.79E+76,15538236
3.12E+76,15538237
9.14E+76,15538238
4.80E+76,15538239
7.31E+76,15538240
3.49E+76,15538241
1.14E+77,15538242
6.19E+76,15538243
5.46E+75,15538244
6.44E+76,15538245
3.54E+76,15538246
4.10E+75,15538247
3.75E+76,15538248
5.82E+76,15538249
1.13E+77,15538250
6.04E+76,15538251
7.41E+76,15538252
6.68E+76,15538253
7.33E+76,15538254
6.62E+76,15538255
2.53E+76,15538256
9.89E+76,15538257
2.19E+76,15538258
9.18E+75,15538259
6.00E+76,15538260
3.78E+76,15538261
8.29E+76,15538262
7.33E+76,15538263
5.55E+76,15538264
1.33E+76,15538265
3.24E+76,15538266
3.13E+76,15538267
5.36E+76,15538268
8.78E+76,15538269
7.15E+76,15538270
6.98E+76,15538271
6.25E+76,15538272
1.06E+77,15538273
2.86E+76,15538274
4.61E+75,15538275
7.89E+76,15538276
8.16E+76,15538277
4.58E+76,15538278
1.15E+77,15538279
1.05E+77,15538280
3.25E+76,15538281
3.60E+76,15538282
3.49E+76,15538283
4.35E+76,15538284
2.45E+76,15538285
1.15E+76,15538286
4.64E+76,15538287
1.91E+76,15538288
7.54E+76,15538289
3.60E+76,15538290
2.72E+76,15538291
6.48E+76,15538292
6.19E+76,15538293
3.00E+76,15538294
1.80E+76,15538295
1.00E+77,15538296
3.93E+76,15538297
6.28E+76,15538298
3.01E+76,15538299
9.59E+76,15538300
5.76E+76,15538301
7.87E+76,15538302
2.24E+76,15538303
1.14E+77,15538304
5.30E+76,15538305
9.61E+76,15538306
1.07E+77,15538307
9.36E+75,15538308
7.73E+76,15538309
4.56E+76,15538310
3.02E+76,15538311
8.81E+76,15538312
1.02E+77,15538313
9.30E+76,15538314
1.14E+77,15538315
4.44E+76,15538316
2.05E+75,15538317
2.21E+75,15538318
5.48E+76,15538319
4.69E+76,15538320
4.51E+76,15538321
4.80E+75,15538322
8.13E+76,15538323
2.94E+76,15538324
9.64E+76,15538325
8.50E+76,15538326
9.25E+75,15538327
3.77E+76,15538328
3.93E+76,15538329
5.01E+76,15538330
2.20E+76,15538331
8.29E+76,15538332
6.23E+76,15538333
6.99E+76,15538334
1.13E+77,15538335
6.52E+76,15538336
6.98E+76,15538337
1.01E+77,15538338
1.10E+77,15538339
6.79E+76,15538340
5.13E+75,15538341
2.69E+76,15538342
9.57E+76,15538343
6.48E+76,15538344
8.00E+76,15538345
8.27E+76,15538346
9.83E+76,15538347
9.33E+75,15538348
3.60E+76,15538349
2.92E+76,15538350
6.16E+76,15538351
1.46E+76,15538352
1.14E+77,15538353
8.77E+76,15538354
1.06E+77,15538355
8.71E+76,15538356
1.62E+76,15538357
5.75E+75,15538358
1.15E+77,15538359
6.71E+76,15538360
5.63E+76,15538361
6.73E+76,15538362
6.38E+76,15538363
7.23E+76,15538364
1.03E+76,15538365
7.65E+76,15538366
5.14E+76,15538367
6.60E+76,15538368
5.30E+76,15538369
6.41E+76,15538370
3.07E+75,15538371
1.88E+76,15538372
3.63E+75,15538373
2.28E+76,15538374
3.07E+76,15538375
5.48E+76,15538376
9.28E+76,15538377
8.16E+76,15538378
7.72E+76,15538379
3.70E+76,15538380
6.88E+76,15538381
2.88E+76,15538382
2.93E+76,15538383
4.93E+76,15538384
4.61E+76,15538385
1.09E+77,15538386
6.01E+76,15538387
5.83E+76,15538388
3.65E+76,15538389
8.36E+76,15538390
1.09E+77,15538391
2.74E+76,15538392
4.28E+76,15538393
2.91E+75,15538394
4.12E+76,15538395
4.63E+75,15538396
9.95E+76,15538397
9.21E+76,15538398
6.22E+75,15538399
4.41E+76,15538400
6.79E+76,15538401
6.05E+76,15538402
8.90E+76,15538403
2.23E+76,15538404
6.82E+76,15538405
5.94E+75,15538406
1.26E+76,15538407
2.36E+76,15538408
7.46E+76,15538409
1.07E+77,15538410
1.04E+75,15538411
8.33E+76,15538412
6.34E+76,15538413
1.08E+77,15538414
9.36E+76,15538415
1.70E+76,15538416
4.68E+76,15538417
4.35E+75,15538418
5.98E+76,15538419
3.79E+76,15538420
9.87E+76,15538421
4.43E+76,15538422
8.26E+76,15538423
1.89E+76,15538424
3.97E+76,15538425
8.06E+76,15538426
1.30E+76,15538427
6.71E+75,15538428
6.20E+76,15538429
7.63E+76,15538430
6.93E+76,15538431
8.46E+76,15538432
8.99E+76,15538433
8.45E+76,15538434
7.78E+76,15538435
7.77E+76,15538436
1.76E+76,15538437
7.40E+76,15538438
9.58E+76,15538439
6.99E+76,15538440
5.89E+76,15538441
1.16E+77,15538442
5.73E+76,15538443
6.15E+76,15538444
3.75E+76,15538445
7.90E+76,15538446
5.23E+76,15538447
1.15E+77,15538448
3.77E+76,15538449
1.08E+77,15538450
9.21E+76,15538451
7.76E+76,15538452
6.57E+76,15538453
4.31E+76,15538454
8.36E+74,15538455
3.20E+76,15538456
2.43E+76,15538457
6.44E+76,15538458
7.22E+76,15538459
4.59E+76,15538460
7.06E+76,15538461
4.50E+76,15538462
4.37E+76,15538463
1.76E+76,15538464
9.88E+76,15538465
9.47E+76,15538466
5.87E+76,15538467
1.04E+77,15538468
7.88E+76,15538469
5.75E+76,15538470
1.13E+77,15538471
7.61E+76,15538472
1.07E+77,15538473
1.06E+77,15538474
4.24E+76,15538475
9.41E+76,15538476
7.33E+76,15538477
1.04E+77,15538478
5.68E+76,15538479
9.59E+76,15538480
1.29E+76,15538481
4.46E+75,15538482
1.12E+77,15538483
6.52E+76,15538484
4.78E+75,15538485
9.79E+76,15538486
5.18E+76,15538487
9.03E+76,15538488
6.09E+76,15538489
1.90E+76,15538490
2.64E+76,15538491
1.52E+76,15538492
1.10E+77,15538493
8.12E+76,15538494
1.36E+76,15538495
6.96E+76,15538496
1.99E+76,15538497
6.26E+76,15538498
7.03E+76,15538499
4.31E+76,15538500
1.03E+77,15538501
3.46E+76,15538502
4.32E+76,15538503
8.64E+76,15538504
8.95E+76,15538505
9.51E+76,15538506
8.74E+76,15538507
9.98E+76,15538508
1.88E+76,15538509
3.77E+76,15538510
6.76E+76,15538511
8.30E+76,15538512
5.37E+75,15538513
1.16E+76,15538514
2.31E+76,15538515
2.05E+76,15538516
3.75E+76,15538517
4.28E+76,15538518
1.07E+76,15538519
9.37E+76,15538520
3.72E+76,15538521
3.10E+75,15538522
6.34E+75,15538523
1.90E+76,15538524
9.41E+76,15538525
9.34E+75,15538526
1.08E+77,15538527
7.52E+75,15538528
2.83E+76,15538529
7.21E+76,15538530
5.69E+76,15538531
7.62E+76,15538532
3.14E+76,15538533
2.14E+76,15538534
9.33E+76,15538535
5.24E+76,15538536
6.67E+76,15538537
4.38E+76,15538538
2.97E+76,15538539
4.45E+76,15538540
9.81E+76,15538541
5.11E+76,15538542
3.00E+76,15538543
1.53E+76,15538544
8.39E+76,15538545
8.51E+76,15538546
7.23E+76,15538547
5.04E+76,15538548
5.17E+76,15538549
4.00E+76,15538550
1.04E+77,15538551
5.27E+75,15538552
7.71E+76,15538553
6.61E+76,15538554
6.39E+76,15538555
2.49E+76,15538556
1.14E+77,15538557
5.96E+75,15538558
8.87E+76,15538559
8.05E+76,15538560
1.08E+77,15538561
7.94E+76,15538562
1.01E+77,15538563
1.14E+77,15538564
1.08E+77,15538565
3.91E+76,15538566
4.61E+76,15538567
7.69E+76,15538568
7.38E+76,15538569
8.99E+76,15538570
6.58E+76,15538571
1.15E+77,15538572
8.03E+76,15538573
6.12E+76,15538574
3.57E+76,15538575
6.54E+76,15538576
9.89E+76,15538577
8.38E+76,15538578
1.07E+77,15538579
5.85E+76,15538580
6.64E+75,15538581
8.84E+76,15538582
6.72E+76,15538583
1.85E+75,15538584
2.86E+76,15538585
8.83E+76,15538586
3.31E+76,15538587
8.32E+76,15538588
7.48E+76,15538589
8.19E+76,15538590
5.68E+76,15538591
9.79E+76,15538592
2.29E+75,15538593
8.81E+76,15538594
4.27E+76,15538595
1.01E+77,15538596
1.10E+77,15538597
4.81E+76,15538598
1.45E+76,15538599
4.33E+76,15538600
1.91E+76,15538601
7.33E+76,15538602
1.16E+77,15538603
9.09E+76,15538604
9.10E+76,15538605
7.68E+76,15538606
5.48E+76,15538607
1.04E+77,15538608
8.03E+76,15538609
4.10E+76,15538610
4.59E+76,15538611
7.95E+76,15538612
5.18E+75,15538613
5.35E+76,15538614
1.00E+77,15538615
6.87E+76,15538616
5.43E+76,15538617
1.27E+76,15538618
1.24E+76,15538619
2.10E+76,15538620
4.63E+76,15538621
9.13E+76,15538622
7.63E+76,15538623
6.62E+76,15538624
8.67E+76,15538625
8.61E+76,15538626
3.69E+76,15538627
9.13E+76,15538628
2.81E+76,15538629
3.33E+76,15538630
2.41E+76,15538631
4.97E+76,15538632
6.05E+76,15538633
9.58E+76,15538634
1.05E+77,15538635
5.55E+76,15538636
4.69E+76,15538637
8.14E+75,15538638
7.98E+76,15538639
1.08E+77,15538640
3.17E+76,15538641
9.31E+76,15538642
3.62E+76,15538643
9.06E+76,15538644
2.36E+76,15538645
4.37E+76,15538646
1.50E+75,15538647
8.44E+76,15538648
1.05E+77,15538649
2.28E+76,15538650
8.64E+76,15538651
5.59E+76,15538652
4.99E+76,15538653
8.88E+76,15538654
1.14E+77,15538655
7.83E+76,15538656
4.41E+76,15538657
9.96E+74,15538658
8.54E+76,15538659
3.45E+76,15538660
5.96E+76,15538661
4.56E+76,15538662
